HC,HC-TL,PC-stable,PCS-TL
-38654.77497525971,-37501.378291905145,-39518.858229117504,-37405.81409774682
-38531.579702572555,-37654.09835143527,-38313.51841347877,-37302.60107144175
-41220.56920125394,-37992.736593863774,-43601.42464251924,-37490.799608220324
-38758.24262294158,-37387.29731364925,-37912.782245825845,-38329.48677265223
-37840.93633587409,-37387.36707678541,-38005.77444082274,-36693.10849131703
-28506.830609982284,-27670.720992504455,-31013.0458530827,-29692.567949430624
-27056.087890086765,-26673.31786167448,-29441.661411066143,-29302.897414561066
-42481.9386030081,-27738.313334262883,-33400.638254487734,-29413.386652055186
-27351.683686867502,-26961.056983680424,-29690.697592114037,-29564.60160709664
-27641.378890994576,-27223.998172596755,-29489.754624245164,-28649.283754302636
-11835.131412262816,-9881.550154271892,-25013.74960265106,-12376.591659334008
-10639.965930833314,-9730.015160781322,-13666.093298628095,-11274.216919258213
-31269.988037255313,-10720.597851227414,-24397.812109057617,-12074.858331492514
-10568.070637627707,-9838.497199890076,-14093.999482725316,-11311.681374513777
-10572.347986926901,-9938.915280160929,-12176.920787969808,-11603.39307371575
-40232.89368769875,-40861.111163081834,-35297.91404909074,-38115.45161883989
-42575.591049946204,-39931.76177170558,-36357.22996554543,-38073.25031507866
-42762.10848899937,-39118.655152429084,-40404.26186559657,-40375.940840469
-41252.30328520653,-41012.58754261396,-37004.83940961105,-39202.05394302869
-40210.487562347465,-40208.72406973458,-38096.59388432085,-39554.544913077814
-56659.894585331815,-55189.499479137805,-61243.34271280093,-59639.30519920236
-56031.46459568891,-54516.42337285865,-59718.310234136436,-59262.97421573955
-61631.677650649355,-57524.59356717177,-70766.9900807567,-60776.53749696092
-54411.03226225212,-53822.91384539958,-60135.14968540345,-58648.95827203687
-54833.115494546975,-53706.616661859654,-58779.82585010134,-59351.977964532525
-16896.637083276877,-16492.47075723801,-16984.47725687442,-16632.597712732844
-16191.695048473606,-16176.015642401477,-16395.715027098493,-16442.866956830872
-18003.759853961717,-16924.664295447274,-17889.333950733704,-16709.46752477799
-16025.612053773091,-16113.602039861502,-16197.029580074623,-16364.46994336536
-15887.931793527265,-15900.502963461777,-16137.281799602102,-16278.226489152381
-31512.89541755801,-30860.244723425752,-31675.20230980526,-31449.870059022218
-30687.053093501596,-30512.199480378662,-31348.863597419782,-31267.74495587547
-34163.78191595857,-32299.09375991812,-34395.71684138894,-31789.56784840689
-30484.894734154484,-30222.182018744745,-30806.010015743774,-31257.896989967452
-30036.89784128802,-29961.11614453366,-30582.67505274684,-31671.089298448293
-18952.25493926302,-18511.08223564282,-19327.175252523066,-20388.368505006434
-18479.29783615004,-18261.061039473916,-19051.02794876497,-19810.795756225794
-20214.157056496973,-19030.701510362018,-22073.826812355837,-20594.041163968544
-18271.10408196227,-18244.269053148688,-18670.546141016563,-19246.769352844665
-18230.600532558477,-18217.451588512587,-18818.521265730586,-19292.180009073745
-35093.86888696253,-35089.873385488005,-35508.929209570015,-36749.2445379747
-34521.489898230866,-34730.017340449216,-34865.50823665867,-36500.36623965045
-38671.80952727736,-35937.71244451353,-39670.27037050087,-36761.001873663154
-34283.12293433241,-34517.29302276456,-34517.69131680669,-36021.11051835758
-34045.95728479933,-34384.47117719147,-34134.857379413144,-35606.40392941543
-81721.53309143185,-81384.85370840672,-81711.08923381472,-81534.2850424113
-80475.21328356954,-80425.51433876572,-80675.2751502698,-80881.44018974966
-88489.78502470146,-86087.62212413903,-89552.30552633469,-85895.3818388899
-80267.89997830946,-80169.03724469703,-80424.5596061367,-80570.10577537991
-79740.44064320392,-79799.48032863274,-79808.90815156615,-80198.7153079715
-51783.15225514206,-51672.5649926768,-51689.18275102147,-51596.03839347422
-51417.12999663795,-51343.49248942723,-51262.899933410816,-51180.64337421688
-54691.054825405496,-54051.594174526515,-56483.80593883499,-53984.22274241674
-51108.19444632662,-51112.16338712042,-51124.28661249774,-51076.41660701713
-50903.97261520545,-50847.88738678739,-50896.51053562152,-50830.61459116605
