HC,HC-TL,PC-stable,PCS-TL
395.6666666666667,168.0,889.3333333333334,377.3333333333333
562.0,38.333333333333336,812.0,552.6666666666666
1017.3333333333334,548.6666666666666,1078.3333333333333,453.6666666666667
754.3333333333334,120.66666666666667,737.6666666666666,496.6666666666667
631.3333333333334,67.0,649.0,515.3333333333334
42.333333333333336,22.666666666666668,34.0,4.0
30.0,16.0,18.666666666666668,3.3333333333333335
42.333333333333336,28.0,100.0,4.0
15.666666666666666,20.0,6.333333333333333,3.3333333333333335
6.0,8.0,6.0,4.0
66.33333333333333,54.0,140.66666666666666,72.66666666666667
7.0,34.666666666666664,100.0,87.66666666666667
111.33333333333333,65.33333333333333,156.0,75.0
4.666666666666667,26.0,101.0,99.66666666666667
0.0,14.666666666666666,84.33333333333333,102.0
206.66666666666666,76.66666666666667,448.0,178.0
103.0,72.0,333.6666666666667,250.66666666666666
239.0,199.66666666666666,514.0,209.66666666666666
132.33333333333334,51.0,252.0,272.6666666666667
74.66666666666667,41.0,272.6666666666667,267.0
5270.666666666667,4101.0,5246.333333333333,2716.6666666666665
4745.333333333333,3690.0,4978.333333333333,3685.6666666666665
6595.666666666667,4873.666666666667,7832.666666666667,2785.3333333333335
3985.3333333333335,2766.6666666666665,4811.0,3577.0
2731.3333333333335,1666.0,4491.333333333333,3647.6666666666665
60.0,15.0,59.0,3.3333333333333335
4.666666666666667,5.666666666666667,20.0,6.0
106.66666666666667,28.666666666666668,66.66666666666667,3.0
6.333333333333333,6.666666666666667,17.333333333333332,3.3333333333333335
5.333333333333333,12.0,10.0,3.3333333333333335
162.0,22.666666666666668,210.66666666666666,48.0
59.0,20.0,168.33333333333334,98.66666666666667
335.3333333333333,181.0,342.6666666666667,41.0
58.0,3.3333333333333335,160.66666666666666,94.0
28.0,13.333333333333334,94.33333333333333,73.33333333333333
3.3333333333333335,4.333333333333333,12.666666666666666,4.0
2.6666666666666665,5.0,21.0,6.0
24.0,5.333333333333333,42.0,4.0
2.6666666666666665,5.0,13.333333333333334,4.666666666666667
4.333333333333333,5.0,6.666666666666667,4.666666666666667
8.666666666666666,10.0,29.0,34.666666666666664
12.0,11.333333333333334,21.666666666666668,17.333333333333332
58.0,10.0,143.33333333333334,11.666666666666666
12.0,14.0,10.333333333333334,18.666666666666668
12.0,10.333333333333334,13.333333333333334,18.0
8312.666666666666,7979.666666666667,7549.333333333333,5056.666666666667
7566.333333333333,7530.0,6269.333333333333,5859.666666666667
9672.0,9391.666666666666,9604.0,4944.666666666667
7197.0,7382.333333333333,6124.0,5712.333333333333
7197.333333333333,7253.333333333333,5637.333333333333,5383.0
4137.0,4094.6666666666665,3831.0,2712.0
3921.6666666666665,3865.3333333333335,2996.6666666666665,2670.3333333333335
4422.0,4398.0,4257.333333333333,2845.0
3859.0,3592.3333333333335,2513.0,2493.0
3746.6666666666665,3499.3333333333335,1861.6666666666667,2574.0
